animate_dead/logs/606343dc411d5_line_coverage_logs.txt
Processing animate_dead/logs/606343dc411d5_line_coverage_logs.txt
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 465-465
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 508-508
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 528-528
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 560-560
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 596-596
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 618-618
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 640-640
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 681-681
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 714-714
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 768-768
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 784-784
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 809-809
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 832-832
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 850-850
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 867-867
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 913-913
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 944-944
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 982-982
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 999-999
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 1034-1034
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 1052-1052
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 1070-1070
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 105-105
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 918-918
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 925-925
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 932-932
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 110-110
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 111-111
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 118-118
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 123-123
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 8-8
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 9-9
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 11-11
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 25-25
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 61-61
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 84-84
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 396-396
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 424-424
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 451-451
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 674-674
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 746-746
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 826-826
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 891-891
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 921-921
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 957-957
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 995-995
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1044-1044
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1105-1105
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1151-1151
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1195-1195
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1268-1268
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1352-1352
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1480-1480
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1546-1546
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1580-1580
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1688-1688
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1717-1717
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1751-1751
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1814-1814
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1850-1850
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1878-1878
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1904-1904
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 1989-1989
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 2035-2035
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/relation.lib.php: 2059-2059
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 129-129
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 869-869
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 871-871
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 436-436
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 440-440
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 444-444
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 448-448
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 448-449
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 454-454
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 872-872
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 873-873
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 875-875
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 876-876
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 890-890
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 891-891
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 893-893
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/core.lib.php: 906-906
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 136-150
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 152-152
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 153-153
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 154-154
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 157-157
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 181-181
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 182-182
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 207-207
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 216-216
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/common.inc.php: 226-226
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 0-0
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 10-10
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 11-11
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 12-12
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 17-17
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 24-24
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 1749-1749
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 1750-1750
/home/ubuntu/debloating_templates/phpMyAdmin-4.7.0-all-languages/libraries/Config.php: 87-87
